Date,Open,High,Low,Close,Adj Close,Volume
1990-01-03,359.690002,360.589996,357.890015,358.760010,358.760010,192330000
1990-01-04,358.760010,358.760010,352.890015,355.670013,355.670013,177000000
1990-01-05,355.670013,355.670013,351.350006,352.200012,352.200012,158530000
1990-01-08,352.200012,354.239990,350.540009,353.790009,353.790009,140110000
1990-01-09,353.829987,354.170013,349.609985,349.619995,349.619995,155210000
1990-01-10,349.619995,349.619995,344.320007,347.309998,347.309998,175990000
1990-01-11,347.309998,350.140015,347.309998,348.529999,348.529999,154390000
1990-01-12,348.529999,348.529999,339.489990,339.929993,339.929993,183880000
1990-01-15,339.929993,339.940002,336.570007,337.000000,337.000000,140590000
1990-01-16,337.000000,340.750000,333.369995,340.750000,340.750000,186070000
1990-01-17,340.769989,342.010010,336.260010,337.399994,337.399994,170470000
1990-01-18,337.399994,338.380005,333.980011,338.190002,338.190002,178590000
1990-01-19,338.190002,340.480011,338.190002,339.149994,339.149994,185590000
1990-01-22,339.140015,339.959991,330.279999,330.380005,330.380005,148380000
1990-01-23,330.380005,332.760010,328.670013,331.609985,331.609985,179300000
1990-01-24,331.609985,331.709991,324.170013,330.260010,330.260010,207830000
1990-01-25,330.260010,332.329987,325.329987,326.079987,326.079987,172270000
1990-01-26,326.089996,328.579987,321.440002,325.799988,325.799988,198190000
1990-01-29,325.799988,327.309998,321.790009,325.200012,325.200012,150770000
1990-01-30,325.200012,325.730011,319.829987,322.980011,322.980011,186030000
1990-01-31,322.980011,329.079987,322.980011,329.079987,329.079987,189660000
